player,age,flag,bats,throws,height,weight,date_of_birth,experience,G_all,GS,G_batting,G_defense,G_p_app,G_1b,G_2b,G_3b,G_ss,G_lf_app,G_cf_app,G_rf_app,G_of_app,WAR,Salary,allstar_appearance
Lars Nootbaar,24,us US,L,R,"6' 3""",210,8-Sep-97,2,108,82,108,94,0,0,0,0,0,11,12,79,94,2.1,,
Tyler O'Neill,27,ca CA,R,R,"5' 11""",200,22-Jun-95,5,96,88,96,94,0,0,0,0,0,83,21,0,94,1.3,"$3,400,000 ",
Johan Oviedo,24,cu CU,R,R,"6' 5""",245,2-Mar-98,3,14,1,0,14,14,0,0,0,0,0,0,0,0,0.3,,
Andre Pallante,23,us US,R,R,"6' 0""",203,18-Sep-98,1st,47,10,0,47,47,0,0,0,0,0,0,0,0,1.5,,
Albert Pujols,42,do DO,R,R,"6' 3""",235,16-Jan-80,22,109,80,109,23,1,22,0,0,0,0,0,0,0,2,"$2,500,000 ",All-Star
José Quintana,33,co CO,R,L,"6' 1""",220,24-Jan-89,11,12,12,0,12,12,0,0,0,0,0,0,0,0,1.6,,
Kramer Robertson,27,us US,R,R,"5' 10""",166,20-Sep-94,1st,2,0,2,1,0,0,0,0,1,0,0,0,0,-0.1,,
JoJo Romero,25,us US,L,L,"5' 11""",200,9-Sep-96,3,15,0,0,15,15,0,0,0,0,0,0,0,0,0.1,,
Austin Romine,33,us US,R,R,"6' 1""",216,22-Nov-88,11,11,7,11,10,0,0,0,0,0,0,0,0,0,-0.2,,
Angel Rondón,24,do DO,R,R,"6' 1""",205,1-Dec-97,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0.3,,
Edmundo Sosa,26,pa PA,R,R,"6' 0""",210,6-Mar-96,4,53,31,53,44,0,0,1,11,34,0,0,0,0,0.6,,
Cory Spangenberg,31,us US,L,R,"6' 0""",195,16-Mar-91,7,1,0,1,1,0,0,0,1,0,0,0,0,0,0,,
Chris Stratton,31,us US,R,R,"6' 2""",205,22-Aug-90,7,20,0,0,20,20,0,0,0,0,0,0,0,0,0.3,,
Zack Thompson,24,us US,L,L,"6' 2""",215,28-Oct-97,1st,22,1,0,22,22,0,0,0,0,0,0,0,0,0.7,,
Drew VerHagen,31,us US,R,R,"6' 6""",230,22-Oct-90,7,19,0,0,19,19,0,0,0,0,0,0,0,0,-0.8,"$2,500,000 ",
Adam Wainwright,40,us US,R,R,"6' 7""",230,30-Aug-81,17,32,32,0,32,32,0,0,0,0,0,0,0,0,1.9,"$17,500,000 ",
Jake Walsh,26,us US,R,R,"6' 1""",192,20-Jul-95,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,-0.2,,
Kodi Whitley,27,us US,R,R,"6' 3""",220,21-Feb-95,3,14,0,0,14,14,0,0,0,0,0,0,0,0,-0.2,,
Nick Wittgren,31,us US,R,R,"6' 2""",216,29-May-91,7,29,0,0,29,29,0,0,0,0,0,0,0,0,-0.6,"$1,200,000 ",
Jake Woodford,25,us US,R,R,"6' 4""",215,28-Oct-96,3,27,1,0,27,27,0,0,0,0,0,0,0,0,0.8,,
Juan Yepez,24,ve VE,R,R,"6' 1""",200,19-Feb-98,1st,76,65,76,55,0,15,0,6,0,23,0,17,40,0.4,,
Nolan Arenado,32,us US,R,R,"6' 2""",215,16-Apr-91,11,144,143,144,128,0,0,0,128,0,0,0,0,0,2.4,"$35,000,000 ",All-Star
Luken Baker,26,us US,R,R,"6' 4""",280,10-Mar-97,1st,33,23,33,12,0,12,0,0,0,0,0,0,0,-0.4,,
Jacob Barnes,33,us US,R,R,"6' 2""",231,14-Apr-90,8,13,0,0,13,13,0,0,0,0,0,0,0,0,-0.2,,
Tres Barrera,28,us US,R,R,"6' 0""",215,15-Sep-94,4,6,0,6,6,0,0,0,0,0,0,0,0,0,0,,
Alec Burleson,24,us US,L,L,"6' 2""",212,25-Nov-98,2,107,80,107,71,2,17,0,0,0,44,0,13,54,-0.8,"$721,450 ",
Génesis Cabrera,26,do DO,L,L,"6' 2""",180,10-Oct-96,5,32,0,2,32,32,0,0,0,0,0,0,0,0,0,"$950,000 ",
Dylan Carlson,24,us US,B,L,"6' 2""",205,23-Oct-98,4,76,59,76,72,0,0,0,0,0,5,50,20,72,0.5,"$742,400 ",
Willson Contreras,31,ve VE,R,R,"6' 1""",225,13-May-92,8,125,119,125,97,0,0,0,0,0,0,0,0,0,3.4,"$10,000,000 ",
Paul DeJong,29,us US,R,R,"6' 0""",205,2-Aug-93,7,81,77,81,81,0,0,0,0,81,0,0,0,0,0.7,,
Brendan Donovan,26,de DE,L,R,"6' 1""",195,16-Jan-97,2,95,81,95,75,0,14,34,6,1,21,0,9,26,1.9,"$728,600 ",
Tommy Edman,28,us US,B,R,"5' 10""",180,9-May-95,5,137,129,137,135,0,0,51,0,48,0,42,8,49,2.1,"$4,200,000 ",
José Fermín,24,do DO,R,R,"5' 9""",200,29-Mar-99,1st,21,16,21,18,0,0,10,8,0,0,0,0,0,0.1,,
Jack Flaherty,27,us US,R,R,"6' 4""",225,15-Oct-95,7,20,20,0,20,20,0,0,0,0,0,0,0,0,1.4,"$5,400,000 ",
Giovanny Gallegos,31,mx MX,R,R,"6' 2""",215,14-Aug-91,7,56,0,0,56,56,0,0,0,0,0,0,0,0,0.3,"$4,750,000 ",
Paul Goldschmidt,35,us US,R,R,"6' 3""",220,10-Sep-87,13,154,154,154,133,0,133,0,0,0,0,0,0,0,3.4,"$26,000,000 ",
Nolan Gorman,23,us US,L,R,"6' 1""",210,10-May-00,2,119,106,119,88,0,0,75,18,0,0,0,0,0,2.4,"$726,950 ",
Ryan Helsley,28,us US,R,R,"6' 2""",230,18-Jul-94,5,33,0,1,33,33,0,0,0,0,0,0,0,0,1.4,"$2,150,000 ",
Iván Herrera,23,pa PA,R,R,"5' 11""",220,1-Jun-00,2,13,10,13,13,0,0,0,0,0,0,0,0,0,0.3,,
Jordan Hicks,26,us US,R,R,"6' 2""",220,6-Sep-96,5,40,0,0,40,40,0,0,0,0,0,0,0,0,0.3,"$1,837,500 ",
Dakota Hudson,28,us US,R,R,"6' 5""",215,15-Sep-94,6,18,12,0,18,18,0,0,0,0,0,0,0,0,0.5,"$2,650,000 ",
John King,28,us US,L,L,"6' 2""",215,14-Sep-94,4,20,0,0,20,20,0,0,0,0,0,0,0,0,0.9,,
Andrew Knizner,28,us US,R,R,"6' 1""",225,3-Feb-95,5,70,63,70,69,0,1,0,0,0,0,0,0,0,1,"$1,100,000 ",
Casey Lawrence,35,us US,R,R,"6' 0""",180,28-Oct-87,4,15,0,0,15,15,0,0,0,0,0,0,0,0,-0.3,,
Kyle Leahy,26,us US,B,R,"6' 5""",200,4-Jun-97,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,-0.3,,
